iter	Passed	Remaining
0	0	63
1	1	54
2	1	49
3	1	45
4	2	44
5	2	42
6	4	55
7	4	53
8	5	51
9	5	50
10	6	48
11	6	47
12	6	46
13	7	45
14	7	44
15	19	102
16	20	97
17	20	93
18	20	89
19	22	88
20	33	124
21	34	121
22	34	116
23	35	111
24	35	107
25	36	103
26	36	99
27	37	95
28	37	92
29	38	88
30	38	85
31	38	82
32	39	79
33	39	77
34	40	74
35	40	72
36	41	70
37	41	68
38	42	65
39	42	63
40	43	61
41	43	59
42	43	57
43	44	56
44	44	54
45	44	52
46	45	51
47	45	49
48	46	48
49	46	46
50	47	45
51	47	43
52	48	42
53	50	42
54	50	41
55	50	40
56	51	38
57	51	37
58	52	36
59	52	35
60	53	34
61	53	32
62	54	31
63	54	30
64	55	29
65	55	28
66	55	27
67	56	26
68	56	25
69	57	24
70	57	23
71	58	22
72	59	21
73	59	20
74	60	20
75	60	19
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	63	13
82	64	13
83	64	12
84	64	11
85	65	10
86	65	9
87	66	9
88	66	8
89	68	7
90	69	6
91	69	6
92	70	5
93	70	4
94	71	3
95	71	2
96	72	2
97	72	1
98	72	0
99	73	0
