iter	Passed	Remaining
0	61	61903
1	66	33092
2	66	22203
3	67	16746
4	67	13473
5	69	11529
6	71	10148
7	72	8933
8	73	8086
9	74	7344
10	75	6745
11	75	6246
12	81	6192
13	82	5801
14	84	5539
15	85	5235
16	85	4963
17	86	4721
18	87	4505
19	87	4302
20	88	4131
21	89	3983
22	91	3881
23	93	3804
24	95	3734
25	96	3615
26	97	3507
27	98	3404
28	98	3308
29	99	3221
30	104	3274
31	106	3218
32	107	3149
33	111	3181
34	113	3115
35	113	3052
36	119	3111
37	123	3134
38	124	3061
39	125	3016
40	129	3032
41	152	3479
42	153	3414
43	155	3385
44	157	3350
45	158	3292
46	159	3235
47	167	3313
48	167	3253
49	168	3193
50	168	3136
51	168	3080
52	169	3027
53	169	2975
54	170	2926
55	171	2896
56	172	2857
57	180	2926
58	182	2914
59	184	2883
60	185	2859
61	187	2830
62	187	2795
63	194	2840
64	199	2866
65	199	2826
66	200	2787
67	200	2752
68	201	2722
69	202	2691
70	203	2660
71	208	2684
72	208	2651
73	211	2648
74	212	2620
75	213	2593
76	214	2566
77	214	2539
78	215	2513
79	216	2494
80	217	2469
81	223	2505
82	224	2475
83	224	2447
84	224	2421
85	226	2407
86	231	2426
87	231	2402
88	232	2379
89	232	2354
90	233	2330
91	233	2307
92	234	2284
93	234	2261
94	235	2239
95	236	2222
96	237	2207
97	237	2186
98	243	2216
99	244	2196
100	244	2176
101	244	2156
102	245	2137
103	245	2118
104	246	2099
105	246	2081
106	247	2065
107	248	2051
108	249	2036
109	252	2042
110	253	2026
111	256	2035
112	257	2020
113	257	2003
114	258	1987
115	258	1971
116	258	1954
117	259	1939
118	259	1923
119	260	1908
120	260	1894
121	261	1878
122	262	1868
123	262	1857
124	263	1846
125	269	1868
126	272	1874
127	273	1862
128	273	1848
129	274	1835
130	274	1822
131	275	1809
132	275	1796
133	276	1783
134	276	1771
135	277	1762
136	278	1753
137	280	1754
138	282	1748
139	284	1745
140	284	1734
141	284	1721
142	285	1709
143	285	1698
144	286	1687
145	286	1676
146	287	1665
147	287	1655
148	288	1645
149	288	1634
150	288	1624
151	289	1614
152	289	1605
153	290	1597
154	291	1589
155	292	1581
156	293	1577
157	295	1573
158	296	1566
159	296	1556
160	296	1546
161	297	1537
162	297	1528
163	298	1519
164	298	1510
165	299	1503
166	299	1495
167	300	1490
168	301	1483
169	302	1476
170	305	1479
171	306	1474
172	308	1473
173	310	1473
174	310	1465
175	311	1459
176	312	1454
177	314	1453
178	316	1451
179	319	1455
180	320	1451
181	323	1453
182	325	1455
183	333	1479
184	335	1477
185	336	1470
186	336	1463
187	337	1455
188	337	1449
189	338	1442
190	339	1436
191	340	1434
192	344	1440
193	345	1433
194	346	1429
195	347	1424
196	348	1418
197	348	1411
198	348	1404
199	349	1398
200	350	1394
201	351	1388
202	352	1384
203	354	1383
204	355	1377
205	355	1371
206	356	1365
207	356	1359
208	357	1352
209	358	1347
210	358	1341
211	359	1336
212	360	1331
213	364	1337
214	365	1333
215	365	1327
216	366	1322
217	367	1316
218	367	1310
219	368	1305
220	368	1299
221	369	1294
222	369	1288
223	370	1283
224	371	1278
225	371	1273
226	372	1268
227	377	1277
228	379	1278
229	380	1274
230	381	1268
231	381	1263
232	382	1258
233	382	1253
234	383	1248
235	383	1243
236	384	1237
237	385	1232
238	385	1228
239	386	1224
240	390	1229
241	390	1224
242	391	1218
243	391	1213
244	392	1208
245	392	1203
246	393	1198
247	393	1194
248	394	1190
249	395	1186
250	396	1181
251	396	1177
252	397	1173
253	398	1170
254	399	1165
255	399	1161
256	400	1158
257	401	1154
258	402	1150
259	407	1159
260	408	1155
261	409	1152
262	410	1149
263	410	1145
264	412	1143
265	413	1139
266	413	1136
267	414	1132
268	415	1129
269	416	1126
270	417	1121
271	417	1117
272	418	1113
273	420	1113
274	420	1109
275	421	1105
276	421	1101
277	422	1097
278	423	1093
279	423	1089
280	424	1085
281	424	1080
282	424	1076
283	425	1072
284	426	1068
285	426	1064
286	427	1061
287	428	1058
288	428	1054
289	429	1050
290	429	1046
291	430	1043
292	430	1039
293	431	1036
294	432	1033
295	432	1029
296	433	1025
297	433	1021
298	434	1017
299	435	1015
300	435	1011
301	436	1008
302	437	1005
303	437	1001
304	438	998
305	438	995
306	439	991
307	440	988
308	441	986
309	441	983
310	442	980
